Player,minutes_played,matches_played,matches_started,tackles,tackles_won,defensive_third_tackles,midfield_tackles,attacking_third_tackles,shots_blocked,interceptions,clearances,errors_leading_to_goal,shot_creating_actions,sca_live_passes,sca_dead_passes,sca_take_ons,sca_shots,sca_fouls_drawn,sca_defensive_actions,goal_creation_actions,gca_live_passes,gca_dead_passes,gca_take_ons,gca_shots,gca_fouls_drawn,gca_defensive_actions,yellow_cards,red_cards,fouls,fouls_drawn,offsides,penalties_won,penalties_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,short_passes_completed,short_passes_attempted,medium_passes_completed,medium_passes_attempted,long_passes_completed,long_passes_attempted,assists,expected_assists,key_passes,passes_into_final_third,passes_into_penalty_box,crosses_into_penalty_area,progressive_passes,touches_penalty_area_defending,touches_defensive_third,touches_middle_third,touches_attacking_third,touches_penalty_area_attacking,attempted_take_ons,successful_take_ons,tackled_take_ons,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,carry_miscontrols,carry_dispossessions,goals,total_shots,shots_on_target,goals_per_shot,average_shot_distance,freekick_shots,penalty_kicks_converted,penalty_kicks_attempted,xG
Simon Van Duivenbooden,163.0,8,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,8.0,8.0,18.0,15.0,27.0,6.0,11.0,1.0,1.0,0.0,0.2,3.0,2.0,0.0,0.0,3.0,0.0,1.0,23.0,38.0,12.0,1.0,0.0,1.0,30.0,124.0,31.0,1.0,0.0,1.0,9.0,0.0,1.0,3.0,1.0,0.33,10.5,0.0,0.0,0.0,0.4
Thomas Buitink,127.0,8,1,2.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,7.0,3.0,5.0,3.0,8.0,0.0,0.1,3.0,3.0,1.0,0.0,6.0,3.0,9.0,15.0,19.0,2.0,4.0,2.0,2.0,25.0,129.0,42.0,2.0,2.0,0.0,6.0,3.0,0.0,1.0,0.0,0.0,30.2,0.0,0.0,0.0,0.0
Davy Pröpper,94.0,2,1,3.0,2.0,1.0,1.0,1.0,1.0,5.0,3.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,16.0,21.0,12.0,15.0,9.0,10.0,0.0,0.4,4.0,2.0,0.0,0.0,4.0,4.0,14.0,35.0,18.0,2.0,2.0,0.0,2.0,27.0,109.0,35.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
Miliano Jonathans,90.0,8,0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,13.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,22.0,25.0,17.0,24.0,3.0,5.0,0.0,0.5,9.0,2.0,7.0,3.0,8.0,0.0,4.0,25.0,42.0,4.0,4.0,2.0,2.0,49.0,340.0,177.0,4.0,6.0,1.0,2.0,1.0,0.0,5.0,2.0,0.0,24.2,0.0,0.0,0.0,0.2
Daan Huisman,40.0,2,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,5.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,6.0,4.0,0.0,1.0,0.0,1.0,10.0,41.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
Gyan de Regt,9.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
Nigel van Haveren,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markus Schubert,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dávid Hancko,2025.0,23,23,51.0,31.0,30.0,17.0,4.0,11.0,23.0,74.0,1.0,54.0,42.0,2.0,2.0,5.0,3.0,0.0,6.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,15.0,1.0,0.0,0.0,0.0,180.0,25.0,15.0,484.0,522.0,777.0,842.0,150.0,257.0,4.0,1.9,17.0,193.0,6.0,2.0,181.0,135.0,706.0,991.0,215.0,54.0,17.0,11.0,5.0,1223.0,6812.0,4518.0,54.0,32.0,2.0,20.0,7.0,1.0,34.0,7.0,0.03,12.4,0.0,0.0,0.0,2.2
Orkun Kökçü,2005.0,24,23,29.0,15.0,9.0,10.0,10.0,6.0,14.0,12.0,0.0,153.0,104.0,35.0,5.0,7.0,2.0,0.0,9.0,6.0,1.0,1.0,0.0,1.0,0.0,6.0,0.0,18.0,22.0,0.0,0.0,0.0,0.0,181.0,8.0,8.0,701.0,768.0,606.0,712.0,160.0,299.0,1.0,6.3,70.0,237.0,60.0,16.0,276.0,34.0,257.0,1191.0,712.0,45.0,41.0,19.0,18.0,1340.0,6878.0,3450.0,67.0,56.0,9.0,39.0,34.0,8.0,66.0,25.0,0.09,25.4,18.0,2.0,2.0,4.9
