name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Eric Oelschlägel,€500k,Goalkeeper,"Sep 20, 1995 (27)",Germany,"1,93m",right,"Jul 15, 2022","Jun 30, 2024"
Kyan van Dorp,€50k,Goalkeeper,"May 17, 2000 (22)",Netherlands,"1,87m",right,"Jul 16, 2021","Jun 30, 2024"
Max Wolfs,€25k,Goalkeeper,"May 4, 2002 (20)",Netherlands,"1,90m",right,"Jul 1, 2022",-
Miguel Araujo,€750k,Centre-Back,"Oct 24, 1994 (28)",Peru,"1,81m",right,"Oct 4, 2019","Jun 30, 2024"
Mike te Wierik,€500k,Centre-Back,"Jun 8, 1992 (30)",Netherlands,"1,91m",right,"Feb 1, 2023","Jun 30, 2025"
Julius Dirksen,€400k,Centre-Back,"Feb 2, 2003 (20)",Netherlands,"1,85m",left,"Jan 31, 2022","Jun 30, 2023"
Jeroen Veldmate,€350k,Centre-Back,"Nov 8, 1988 (34)",Netherlands,"1,91m",left,"Jul 1, 2021","Jun 30, 2023"
Michaël Heylen,€275k,Centre-Back,"Jan 3, 1994 (29)",Belgium,"1,87m",right,"Jul 6, 2022","Jun 30, 2024"
Dennis Vos,€350k,Left-Back,"Nov 28, 2001 (21)",Netherlands,"1,81m",left,"Jan 27, 2023","Jun 30, 2024"
Jeff Hardeveld,€325k,Left-Back,"Feb 27, 1995 (28)",Netherlands,"1,84m",left,"Jul 1, 2021","Jun 30, 2023"
Lorenzo Burnet,€275k,Left-Back,"Jan 11, 1991 (32)",Netherlands,"1,70m",left,"Jul 15, 2021","Jun 30, 2023"
Mohamed Bouchouari,€500k,Right-Back,"Nov 15, 2000 (22)",Belgium,"1,70m",right,"Aug 31, 2022","Jun 30, 2023"
Keziah Veendorp,€450k,Right-Back,"Feb 17, 1997 (26)",Netherlands,"1,87m",right,"Oct 14, 2021","Jun 30, 2023"
Arnaud Luzayadio,€200k,Right-Back,"Jul 19, 1999 (23)",France,"1,76m",right,"Jul 26, 2021","Jun 30, 2023"
Lucas Bernadou,€750k,Defensive Midfield,"Sep 24, 2000 (22)",France,"1,78m",right,"Jul 22, 2020","Jun 30, 2024"
Ahmed El Messaoudi,€675k,Defensive Midfield,"Aug 3, 1995 (27)",Morocco,"1,82m",right,"Aug 30, 2022","Jun 30, 2024"
Maikel Kieftenbeld,€400k,Defensive Midfield,"Jun 26, 1990 (32)",Netherlands,"1,79m",right,"Jul 1, 2022","Jun 30, 2024"
Jari Vlak,€500k,Central Midfield,"Aug 15, 1998 (24)",Netherlands,"1,91m",right,"Jan 11, 2021","Jun 30, 2025"
Mark Diemers,€1.50m,Attacking Midfield,"Oct 11, 1993 (29)",Netherlands,"1,75m",right,"Aug 11, 2022","Jun 30, 2023"
Azzeddine Toufiqui,€275k,Attacking Midfield,"Apr 25, 1999 (23)",France,"1,75m",left,"Jul 26, 2021","Jun 30, 2023"
Ben Scholte,€150k,Attacking Midfield,"Aug 10, 2001 (21)",Netherlands,"1,85m",right,"Jul 1, 2021","Jun 30, 2023"
Jasin Assehnoun,€350k,Left Winger,"Dec 26, 1998 (24)",Finland,"1,75m",both,"Jul 14, 2021","Jun 30, 2023"
Jeremy Antonisse,€300k,Left Winger,"Mar 29, 2002 (21)",Curacao,"1,84m",right,"Jan 31, 2023","Jun 30, 2023"
Rui Mendes,€700k,Right Winger,"Nov 10, 1999 (23)",Portugal,"1,79m",both,"Jul 30, 2021","Jun 30, 2025"
Ole Romeny,€750k,Centre-Forward,"Jun 20, 2000 (22)",Netherlands,"1,85m",right,"Jan 27, 2022","Jun 30, 2023"
Oussama Darfalou,€700k,Centre-Forward,"Sep 29, 1993 (29)",Algeria,"1,87m",right,"Jan 13, 2023","Jun 30, 2024"
Richairo Zivkovic,€400k,Centre-Forward,"Sep 5, 1996 (26)",Curacao,"1,87m",right,"Jul 25, 2022","Jun 30, 2023"
Danny Hoesen,€400k,Centre-Forward,"Jan 15, 1991 (32)",Netherlands,"1,86m",right,"Feb 13, 2023","Jun 30, 2023"
Metehan Güçlü,€300k,Centre-Forward,"Apr 2, 1999 (24)",Turkey,"1,82m",left,"Jul 22, 2022","Jun 30, 2023"
Mart Lieder,€275k,Centre-Forward,"May 1, 1990 (32)",Netherlands,"1,88m",right,"Jan 27, 2022","Jun 30, 2023"
Gerónimo Rulli,€10.00m,Goalkeeper,"May 20, 1992 (30)",Argentina,"1,89m",right,"Jan 6, 2023","Jun 30, 2026"
Remko Pasveer,€250k,Goalkeeper,"Nov 8, 1983 (39)",Netherlands,"1,87m",right,"Jul 1, 2021","Jun 30, 2023"
Maarten Stekelenburg,€100k,Goalkeeper,"Sep 22, 1982 (40)",Netherlands,"1,97m",right,"Aug 1, 2020","Jun 30, 2023"
Jurrien Timber,€42.00m,Centre-Back,"Jun 17, 2001 (21)",Netherlands,"1,82m",right,"Sep 18, 2020","Jun 30, 2025"
Calvin Bassey,€18.00m,Centre-Back,"Dec 31, 1999 (23)",Nigeria,"1,85m",left,"Jul 20, 2022","Jun 30, 2027"
Ahmetcan Kaplan,€5.00m,Centre-Back,"Jan 16, 2003 (20)",Turkey,"1,89m",left,"Aug 19, 2022","Jun 30, 2027"
Olivier Aertssen,€350k,Centre-Back,"Aug 7, 2004 (18)",Netherlands,"1,83m",right,-,"Jun 30, 2025"
Jorrel Hato,-,Centre-Back,"Mar 7, 2006 (17)",Netherlands,-,left,-,"Jun 30, 2025"
Owen Wijndal,€10.00m,Left-Back,"Nov 28, 1999 (23)",Netherlands,"1,76m",left,"Jul 12, 2022","Jun 30, 2027"
Youri Baas,€700k,Left-Back,"Mar 17, 2003 (20)",Netherlands,"1,82m",left,"Jan 1, 2023","Jun 30, 2026"
Devyne Rensch,€8.00m,Right-Back,"Jan 18, 2003 (20)",Netherlands,"1,79m",both,"Nov 10, 2020","Jun 30, 2025"
Jorge Sánchez,€6.00m,Right-Back,"Dec 10, 1997 (25)",Mexico,"1,75m",right,"Aug 10, 2022","Jun 30, 2026"
Edson Álvarez,€35.00m,Defensive Midfield,"Oct 24, 1997 (25)",Mexico,"1,87m",right,"Jul 22, 2019","Jun 30, 2025"
Florian Grillitsch,€8.00m,Defensive Midfield,"Aug 7, 1995 (27)",Austria,"1,87m",right,"Sep 1, 2022","Jun 30, 2023"
Kenneth Taylor,€14.00m,Central Midfield,"May 16, 2002 (20)",Netherlands,"1,82m",both,"Nov 10, 2020","Jun 30, 2027"
Youri Regeer,€2.00m,Central Midfield,"Aug 18, 2003 (19)",Netherlands,"1,77m",right,"Jul 1, 2022","Jun 30, 2025"
Kian Fitz-Jim,€800k,Central Midfield,"Jul 5, 2003 (19)",Netherlands,"1,74m",right,"Jan 1, 2023","Jun 30, 2024"
Mohammed Kudus,€30.00m,Attacking Midfield,"Aug 2, 2000 (22)",Ghana,"1,77m",left,"Jul 31, 2020","Jun 30, 2025"
Steven Berghuis,€14.00m,Attacking Midfield,"Dec 19, 1991 (31)",Netherlands,"1,82m",left,"Jul 16, 2021","Jun 30, 2025"
Davy Klaassen,€12.00m,Attacking Midfield,"Feb 21, 1993 (30)",Netherlands,"1,79m",right,"Oct 5, 2020","Jun 30, 2024"
Steven Bergwijn,€24.00m,Left Winger,"Oct 8, 1997 (25)",Netherlands,"1,78m",right,"Jul 8, 2022","Jun 30, 2027"
Dusan Tadić,€7.00m,Left Winger,"Nov 20, 1988 (34)",Serbia,"1,81m",left,"Jul 3, 2018","Jun 30, 2024"
Francisco Conceição,€8.00m,Right Winger,"Dec 14, 2002 (20)",Portugal,"1,70m",left,"Jul 21, 2022","Jun 30, 2027"
Brian Brobbey,€13.00m,Centre-Forward,"Feb 1, 2002 (21)",Netherlands,"1,80m",right,"Jul 22, 2022","Jun 30, 2027"
Lorenzo Lucca,€6.00m,Centre-Forward,"Sep 10, 2000 (22)",Italy,"2,01m",right,"Aug 4, 2022","Jun 30, 2023"
Walter Benítez,€12.00m,Goalkeeper,"Jan 19, 1993 (30)",Argentina,"1,91m",right,"Jul 1, 2022","Jun 30, 2025"
Joël Drommel,€3.00m,Goalkeeper,"Nov 16, 1996 (26)",Netherlands,"1,92m",right,"Jul 1, 2021","Jun 30, 2026"
Kjell Peersman,€200k,Goalkeeper,"May 21, 2004 (18)",Belgium,"1,94m",,"Jul 1, 2022","Jun 30, 2026"
Boy Waterman,€100k,Goalkeeper,"Jan 24, 1984 (39)",Netherlands,"1,88m",right,"Jul 1, 2022","Jun 30, 2024"
Olivier Boscagli,€8.00m,Centre-Back,"Nov 18, 1997 (25)",France,"1,81m",left,"Jul 17, 2019","Jun 30, 2025"
Jarrad Branthwaite,€7.00m,Centre-Back,"Jun 27, 2002 (20)",England,"1,95m",left,"Jul 17, 2022","Jun 30, 2023"
Armando Obispo,€4.50m,Centre-Back,"Mar 5, 1999 (24)",Netherlands,"1,85m",left,"Jul 1, 2017","Jun 30, 2025"
André Ramalho,€3.50m,Centre-Back,"Feb 16, 1992 (31)",Brazil,"1,82m",both,"Jul 1, 2021","Jun 30, 2024"
Mauro Júnior,€6.00m,Left-Back,"May 6, 1999 (23)",Brazil,"1,71m",left,"Jan 1, 2018","Jun 30, 2025"
Patrick van Aanholt,€3.20m,Left-Back,"Aug 29, 1990 (32)",Netherlands,"1,76m",left,"Jan 31, 2023","Jun 30, 2024"
Jordan Teze,€6.00m,Right-Back,"Sep 30, 1999 (23)",Netherlands,"1,83m",right,"Dec 21, 2019","Jun 30, 2025"
Phillipp Mwene,€3.00m,Right-Back,"Jan 29, 1994 (29)",Austria,"1,70m",right,"Jul 1, 2021","Jun 30, 2024"
Ibrahim Sangaré,€35.00m,Defensive Midfield,"Dec 2, 1997 (25)",Cote d'Ivoire,"1,91m",right,"Sep 28, 2020","Jun 30, 2027"
Joey Veerman,€14.00m,Central Midfield,"Nov 19, 1998 (24)",Netherlands,"1,85m",right,"Jan 4, 2022","Jun 30, 2026"
Érick Gutiérrez,€7.00m,Central Midfield,"Jun 15, 1995 (27)",Mexico,"1,76m",left,"Aug 30, 2018","Jun 30, 2025"
Xavi Simons,€30.00m,Attacking Midfield,"Apr 21, 2003 (19)",Netherlands,"1,79m",right,"Jul 1, 2022","Jun 30, 2027"
Guus Til,€7.00m,Attacking Midfield,"Dec 22, 1997 (25)",Netherlands,"1,86m",right,"Jul 4, 2022","Jun 30, 2026"
Ismael Saibari,€3.00m,Attacking Midfield,"Jan 28, 2001 (22)",Morocco,"1,85m",right,"Jul 1, 2022","Jun 30, 2025"
Thorgan Hazard,€9.00m,Left Winger,"Mar 29, 1993 (30)",Belgium,"1,75m",right,"Jan 31, 2023","Jun 30, 2023"
Johan Bakayoko,€9.00m,Right Winger,"Apr 20, 2003 (19)",Belgium,"1,79m",left,"Jul 1, 2022","Jun 30, 2026"
Anwar El Ghazi,€8.00m,Right Winger,"May 3, 1995 (27)",Netherlands,"1,89m",right,"Aug 31, 2022","Jun 30, 2025"
Sávio,€6.00m,Right Winger,"Apr 10, 2004 (18)",Brazil,"1,76m",left,"Jul 22, 2022","Jun 30, 2023"
Fábio Silva,€13.00m,Centre-Forward,"Jul 19, 2002 (20)",Portugal,"1,85m",right,"Jan 25, 2023","Jun 30, 2023"
Luuk de Jong,€4.00m,Centre-Forward,"Aug 27, 1990 (32)",Netherlands,"1,88m",right,"Jul 2, 2022","Jun 30, 2025"
Vasilios Barkas,€3.00m,Goalkeeper,"May 30, 1994 (28)",Greece,"1,96m",left,"Jul 1, 2022","Jun 30, 2023"
Fabian de Keijzer,€800k,Goalkeeper,"May 10, 2000 (22)",Netherlands,"1,93m",right,"Jul 1, 2020","Jun 30, 2024"
Thijmen Nijhuis,€200k,Goalkeeper,"Jul 25, 1998 (24)",Netherlands,"1,97m",right,"Jul 1, 2019","Jun 30, 2023"
Calvin Raatsie,€200k,Goalkeeper,"Feb 9, 2002 (21)",Netherlands,"1,88m",right,"Jul 1, 2022","Jun 30, 2025"
Modibo Sagnan,€3.00m,Centre-Back,"Apr 14, 1999 (23)",France,"1,87m",left,"Jul 11, 2022","Jun 30, 2023"
Mike van der Hoorn,€1.50m,Centre-Back,"Oct 15, 1992 (30)",Netherlands,"1,90m",right,"Jul 1, 2022","Jun 30, 2024"
Tommy St. Jago,€800k,Centre-Back,"Jan 3, 2000 (23)",Netherlands,"1,86m",right,"Jul 1, 2020","Jun 30, 2024"
Ramon Hendriks,€800k,Centre-Back,"Jul 18, 2001 (21)",Netherlands,"1,89m",left,"Jul 1, 2022","Jun 30, 2023"
Nick Viergever,€800k,Centre-Back,"Aug 3, 1989 (33)",Netherlands,"1,83m",left,"Jul 1, 2022","Jun 30, 2024"
Mark van der Maarel,€400k,Centre-Back,"Aug 12, 1989 (33)",Netherlands,"1,77m",right,"Jul 1, 2009","Jun 30, 2023"
Ruben Kluivert,€300k,Centre-Back,"May 21, 2001 (21)",Netherlands,"1,78m",right,"Jul 1, 2022","Jun 30, 2024"
Django Warmerdam,€1.00m,Left-Back,"Sep 2, 1995 (27)",Netherlands,"1,80m",left,"Jul 1, 2020","Jun 30, 2023"
Sean Klaiber,€2.80m,Right-Back,"Jul 31, 1994 (28)",Suriname,"1,84m",right,"Aug 29, 2022","Jun 30, 2025"
Hidde ter Avest,€1.50m,Right-Back,"May 20, 1997 (25)",Netherlands,"1,82m",right,"Jan 13, 2021","Jun 30, 2024"
Luuk Brouwers,€1.50m,Defensive Midfield,"May 3, 1998 (24)",Netherlands,"1,83m",right,"Jul 1, 2022","Jun 30, 2027"
Jens Toornstra,€1.00m,Defensive Midfield,"Apr 4, 1989 (33)",Netherlands,"1,78m",right,"Aug 23, 2022","Jun 30, 2024"
Taylor Booth,€6.00m,Central Midfield,"May 31, 2001 (21)",United States,"1,74m",right,"Jul 1, 2022","Jun 30, 2025"
Can Bozdogan,€4.00m,Central Midfield,"Apr 5, 2001 (21)",Germany,"1,74m",left,"Jul 26, 2022","Jun 30, 2023"
Rocco Robert Shein,€250k,Central Midfield,"Jul 14, 2003 (19)",Estonia,"1,85m",both,"Jul 1, 2022","Jun 30, 2025"
Bart Ramselaar,€3.80m,Attacking Midfield,"Jun 29, 1996 (26)",Netherlands,"1,78m",right,"Aug 24, 2019","Jun 30, 2025"
Zakaria Labyad,€2.50m,Attacking Midfield,"Mar 9, 1993 (30)",Morocco,"1,75m",both,"Feb 20, 2023","Jun 30, 2024"
Sander van de Streek,€1.40m,Attacking Midfield,"Mar 24, 1993 (30)",Netherlands,"1,80m",right,"Jul 1, 2017","Jun 30, 2023"
Victor Jensen,€1.00m,Attacking Midfield,"Feb 8, 2000 (23)",Denmark,"1,75m",both,"Jan 31, 2023","Jun 30, 2026"
Amin Younes,€1.50m,Left Winger,"Aug 6, 1993 (29)",Germany,"1,68m",right,"Aug 31, 2022","Jun 30, 2023"
Othmane Boussaid,€1.40m,Left Winger,"Mar 7, 2000 (23)",Belgium,"1,66m",right,"Jul 1, 2018","Jun 30, 2024"
Derensili Sanches Fernandes,€150k,Left Winger,"May 28, 2001 (21)",Netherlands,-,,-,"Jun 30, 2024"
Naoki Maeda,€900k,Right Winger,"Nov 17, 1994 (28)",Japan,"1,76m",left,"Jan 1, 2022","Jun 30, 2023"
Anastasios Douvikas,€6.00m,Centre-Forward,"Aug 2, 1999 (23)",Greece,"1,86m",right,"Jul 1, 2021","Jun 30, 2025"
Bas Dost,€1.80m,Centre-Forward,"May 31, 1989 (33)",Netherlands,"1,96m",right,"Jul 1, 2022","Jun 30, 2023"
Anthony Descotte,€400k,Centre-Forward,"Aug 3, 2003 (19)",Belgium,"1,80m",right,"Jan 31, 2023","Jun 30, 2023"
Jeffrey de Lange,€650k,Goalkeeper,"Apr 1, 1998 (25)",Netherlands,"1,90m",right,"Jul 1, 2022","Jun 30, 2025"
Erwin Mulder,€300k,Goalkeeper,"Mar 3, 1989 (34)",Netherlands,"1,93m",right,"Aug 2, 2022","Jun 30, 2023"
Luca Plogmann,€225k,Goalkeeper,"Mar 10, 2000 (23)",Germany,"1,89m",both,"Oct 16, 2022","Jun 30, 2023"
Sven Jansen,€50k,Goalkeeper,"Oct 23, 2004 (18)",Netherlands,"1,92m",right,"Jul 1, 2021","Jun 30, 2025"
José Fontán,€800k,Centre-Back,"Feb 11, 2000 (23)",Spain,"1,82m",left,"Jul 1, 2022","Jun 30, 2023"
Jay Idzes,€600k,Centre-Back,"Jun 2, 2000 (22)",Netherlands,"1,90m",right,"Jul 20, 2020","Jun 30, 2023"
Jamal Amofa,€550k,Centre-Back,"Nov 25, 1998 (24)",Netherlands,"1,85m",right,"Jul 5, 2022","Jun 30, 2025"
Gerrit Nauber,€500k,Centre-Back,"Apr 13, 1992 (30)",Germany,"1,86m",right,"Jul 5, 2021","Jun 30, 2023"
Bas Kuipers,€700k,Left-Back,"Aug 17, 1994 (28)",Netherlands,"1,80m",left,"Jul 6, 2020","Jun 30, 2024"
Fredrik Oppegard,€600k,Left-Back,"Aug 7, 2002 (20)",Norway,"1,75m",left,"Jan 29, 2023","Jun 30, 2023"
Aventis Aventisian,€75k,Left-Back,"Aug 17, 2002 (20)",Armenia,"1,72m",left,"Jan 3, 2022","Jun 30, 2024"
Mats Deijl,€500k,Right-Back,"Jul 15, 1997 (25)",Netherlands,"1,81m",right,"Jul 1, 2021","Jun 30, 2024"
Federico Mattiello,€400k,Right-Back,"Jul 14, 1995 (27)",Italy,"1,84m",right,"Sep 5, 2022","Jun 30, 2023"
Pim Saathof,€25k,Right-Back,"Dec 28, 2003 (19)",Netherlands,"1,86m",right,-,-
Enric Llansana,€550k,Defensive Midfield,"Apr 12, 2001 (21)",Netherlands,"1,83m",right,"Jul 1, 2022","Jun 30, 2026"
Xander Blomme,€250k,Defensive Midfield,"Jun 21, 2002 (20)",Belgium,"1,72m",right,"Jul 1, 2022","Jun 30, 2024"
Willum Thór Willumsson,€900k,Central Midfield,"Oct 23, 1998 (24)",Iceland,"1,94m",left,"Jul 15, 2022","Jun 30, 2024"
Philippe Rommens,€800k,Central Midfield,"Aug 20, 1997 (25)",Belgium,"1,75m",right,"Jul 1, 2021","Jun 30, 2024"
Evert Linthorst,€600k,Central Midfield,"Mar 3, 2000 (23)",Netherlands,"1,85m",right,"Jan 30, 2022","Jun 30, 2024"
Robbin Weijenberg,€25k,Attacking Midfield,"Nov 8, 2004 (18)",Netherlands,-,right,-,-
Oliver Valaker Edvardsen,€800k,Left Winger,"Mar 19, 1999 (24)",Norway,-,right,"Jul 15, 2022","Jun 30, 2025"
Sylla Sow,€300k,Left Winger,"Aug 8, 1996 (26)",Netherlands,"1,82m",right,"Aug 29, 2022","Jun 30, 2024"
Darío Serra,€25k,Left Winger,"Jan 20, 2003 (20)",Spain,"1,80m",right,"Jan 31, 2023","Jun 30, 2023"
Bobby Adekanye,€800k,Right Winger,"Feb 14, 1999 (24)",Netherlands,"1,75m",left,"Jul 1, 2022","Jun 30, 2024"
Rashaan Fernandes,€300k,Right Winger,"Jul 29, 1998 (24)",Netherlands,"1,70m",right,"Jul 1, 2022","Jun 30, 2025"
Jahnoah Markelo,€100k,Right Winger,"Jan 4, 2003 (20)",Netherlands,"1,71m",left,"Jul 1, 2022","Jun 30, 2025"
Isac Lidberg,€750k,Centre-Forward,"Sep 8, 1998 (24)",Sweden,"1,87m",right,"Jul 16, 2021","Jun 30, 2024"
Finn Stokkers,€450k,Centre-Forward,"Apr 18, 1996 (26)",Netherlands,"1,80m",right,"Jul 1, 2022","Jun 30, 2025"
Etienne Vaessen,€800k,Goalkeeper,"Jul 26, 1995 (27)",Netherlands,"1,89m",right,"Jul 1, 2015","Jun 30, 2024"
Joel Pereira,€300k,Goalkeeper,"Jun 28, 1996 (26)",Portugal,"1,89m",right,"Jul 5, 2021","Jun 30, 2023"
Mark Spenkelink,€100k,Goalkeeper,"Jan 27, 1997 (26)",Netherlands,"1,96m",,"Jan 31, 2022","Jun 30, 2023"
Joey Kesting,€25k,Goalkeeper,"Mar 7, 2001 (22)",Netherlands,-,,"Jul 1, 2022","Jun 30, 2023"
Shawn Adewoye,€900k,Centre-Back,"Jun 29, 2000 (22)",Belgium,"1,83m",right,"Jan 31, 2021","Jun 30, 2024"
Dario Van den Buijs,€550k,Centre-Back,"Sep 12, 1995 (27)",Belgium,"1,87m",left,"Aug 30, 2021","Jun 30, 2025"
Juriën Gaari,€450k,Centre-Back,"Dec 23, 1993 (29)",Curacao,"1,83m",right,"Jul 1, 2018","Jun 30, 2023"
Lars Nieuwpoort,€175k,Centre-Back,"Oct 29, 1994 (28)",Netherlands,"1,89m",left,"Jul 22, 2019","Jun 30, 2023"
Hans Mulder,€125k,Centre-Back,"Apr 27, 1987 (35)",Netherlands,"1,80m",right,"Oct 4, 2017","Jun 30, 2023"
Thierry Lutonda,€550k,Left-Back,"Oct 27, 2000 (22)",Belgium,"1,67m",left,"Jul 1, 2021","Jun 30, 2024"
Luuk Wouters,€250k,Left-Back,"Jun 8, 1999 (23)",Netherlands,"1,90m",left,"Jul 1, 2020","Jun 30, 2023"
Julian Lelieveld,€700k,Right-Back,"Nov 24, 1997 (25)",Netherlands,"1,78m",right,"Jul 1, 2022","Jun 30, 2025"
Saïd Bakari,€400k,Right-Back,"Sep 22, 1994 (28)",Comoros,"1,78m",right,"Jul 1, 2017","Jun 30, 2023"
Vurnon Anita,€350k,Defensive Midfield,"Apr 4, 1989 (33)",Curacao,"1,69m",right,"Aug 31, 2020","Jun 30, 2023"
Kevin Felida,€350k,Defensive Midfield,"Nov 11, 1999 (23)",Curacao,"1,74m",right,"Jul 1, 2022","Jun 30, 2025"
Pelle Clement,€700k,Central Midfield,"May 19, 1996 (26)",Netherlands,"1,77m",right,"Aug 5, 2022","Jun 30, 2023"
Patrick Vroegh,€450k,Central Midfield,"Nov 29, 1999 (23)",Netherlands,"1,75m",left,"Jul 4, 2022","Jun 30, 2025"
Yassin Oukili,€450k,Central Midfield,"Jan 3, 2001 (22)",Morocco,"1,95m",right,"Jan 20, 2021","Jun 30, 2025"
Sebbe Augustijns,€75k,Central Midfield,"Sep 3, 1999 (23)",Belgium,"1,79m",right,"Jul 1, 2020","Jun 30, 2023"
Iliass Bel Hassani,€500k,Attacking Midfield,"Sep 16, 1992 (30)",Morocco,"1,75m",left,"Jul 1, 2021","Jun 30, 2023"
Chris Lokesa,€400k,Attacking Midfield,"Nov 7, 2004 (18)",Belgium,-,right,"Jan 1, 2023","Jun 30, 2026"
Zakaria Bakkali,€350k,Left Winger,"Jan 26, 1996 (27)",Belgium,"1,68m",right,"Aug 3, 2022","Jun 30, 2024"
Florian Jozefzoon,€500k,Right Winger,"Feb 9, 1991 (32)",Suriname,"1,73m",right,"Aug 4, 2022","Jun 30, 2023"
Roy Kuijpers,€350k,Right Winger,"Jan 17, 2000 (23)",Netherlands,"1,75m",right,"Dec 2, 2021","Jun 30, 2025"
Julen Lobete,€1.70m,Centre-Forward,"Sep 18, 2000 (22)",Spain,"1,77m",right,"Jul 28, 2022","Jun 30, 2023"
Mats Seuntjens,€1.20m,Centre-Forward,"Apr 17, 1992 (30)",Netherlands,"1,87m",right,"Jan 1, 2023","Jun 30, 2023"
Mika Biereth,€600k,Centre-Forward,"Feb 8, 2003 (20)",Denmark,"1,87m",right,"Jul 1, 2022","Jun 30, 2023"
Michiel Kramer,€375k,Centre-Forward,"Dec 3, 1988 (34)",Netherlands,"1,96m",right,"Jul 20, 2021","Jun 30, 2025"
Lars Unnerstall,€2.50m,Goalkeeper,"Jul 20, 1990 (32)",Germany,"1,98m",right,"Jul 1, 2021","Jun 30, 2025"
Przemyslaw Tyton,€300k,Goalkeeper,"Jan 4, 1987 (36)",Poland,"1,95m",right,"Jul 1, 2022","Jun 30, 2024"
Issam El Maach,€75k,Goalkeeper,"Feb 1, 2000 (23)",Morocco,"1,87m",right,"Jul 26, 2022","Jun 30, 2024"
Sam Karssies,€25k,Goalkeeper,"Feb 26, 2003 (20)",Netherlands,"1,86m",right,"Jul 1, 2022","Jun 30, 2024"
Mees Hilgers,€4.50m,Centre-Back,"May 13, 2001 (21)",Netherlands,"1,85m",right,"Oct 17, 2020","Jun 30, 2024"
Robin Pröpper,€2.00m,Centre-Back,"Sep 23, 1993 (29)",Netherlands,"1,90m",right,"Jul 1, 2021","Jun 30, 2024"
Julio Pleguezuelo,€1.10m,Centre-Back,"Jan 26, 1997 (26)",Spain,"1,80m",right,"Jul 1, 2019","Jun 30, 2023"
Max Bruns,€300k,Centre-Back,"Nov 6, 2002 (20)",Netherlands,"1,83m",right,"Feb 17, 2021","Jun 30, 2024"
Gijs Smal,€4.00m,Left-Back,"Aug 31, 1997 (25)",Netherlands,"1,83m",left,"Jul 1, 2020","Jun 30, 2024"
Anass Salah-Eddine,€500k,Left-Back,"Jan 18, 2002 (21)",Netherlands,"1,80m",left,"Aug 1, 2022","Jun 30, 2023"
Joshua Brenet,€3.00m,Right-Back,"Mar 20, 1994 (29)",Netherlands,"1,81m",right,"Jan 31, 2022","Jun 30, 2024"
Alfons Sampsted,€1.50m,Right-Back,"Apr 6, 1998 (24)",Iceland,"1,80m",right,"Jan 1, 2023","Jun 30, 2026"
Ramiz Zerrouki,€7.00m,Defensive Midfield,"May 26, 1998 (24)",Algeria,"1,83m",right,"Jul 1, 2020","Jun 30, 2024"
Michal Sadilek,€4.00m,Defensive Midfield,"May 31, 1999 (23)",Czech Republic,"1,69m",left,"Jul 1, 2022","Jun 30, 2024"
Wout Brama,€200k,Defensive Midfield,"Aug 21, 1986 (36)",Netherlands,"1,76m",right,"Jul 1, 2018","Jun 30, 2023"
Mathias Kjölö,€1.20m,Central Midfield,"Jun 27, 2001 (21)",Norway,"1,74m",right,"Jul 1, 2022","Jun 30, 2025"
Michel Vlap,€2.00m,Attacking Midfield,"Jun 2, 1997 (25)",Netherlands,"1,90m",right,"Jul 4, 2022","Jun 30, 2025"
Sem Steijn,€925k,Attacking Midfield,"Nov 12, 2001 (21)",Netherlands,"1,73m",right,"Jul 1, 2022","Jun 30, 2025"
Virgil Misidjan,€2.00m,Left Winger,"Jul 24, 1993 (29)",Netherlands,"1,73m",both,"Jul 1, 2021","Jun 30, 2023"
Vaclav Cerny,€4.00m,Right Winger,"Oct 17, 1997 (25)",Czech Republic,"1,82m",left,"Jul 2, 2021","Jun 30, 2025"
Daan Rots,€700k,Right Winger,"Jul 25, 2001 (21)",Netherlands,"1,79m",left,"Feb 17, 2021","Jun 30, 2025"
Denilho Cleonise,€400k,Right Winger,"Dec 8, 2001 (21)",Netherlands,"1,79m",left,"Aug 18, 2021","Jun 30, 2023"
Ricky van Wolfswinkel,€800k,Centre-Forward,"Jan 27, 1989 (34)",Netherlands,"1,86m",right,"Jul 21, 2021","Jun 30, 2024"
Manfred Ugalde,€800k,Centre-Forward,"May 25, 2002 (20)",Costa Rica,"1,73m",right,"Jul 1, 2021","Jun 30, 2023"
Ivor Pandur,€1.50m,Goalkeeper,"Mar 25, 2000 (23)",Croatia,"1,87m",right,"Jul 7, 2022","Jun 30, 2023"
Yanick van Osch,€600k,Goalkeeper,"Mar 24, 1997 (26)",Netherlands,"1,83m",right,"Jul 1, 2020","Jun 30, 2023"
Tom Hendriks,€50k,Goalkeeper,"May 14, 2002 (20)",Netherlands,"1,86m",,"Jul 1, 2021","Jun 30, 2023"
Rodrigo Guth,€2.00m,Centre-Back,"Nov 10, 2000 (22)",Brazil,"1,91m",right,"Jul 21, 2022","Jun 30, 2027"
Stipe Radic,€800k,Centre-Back,"Jun 10, 2000 (22)",Croatia,"1,90m",right,"Jan 1, 2023","Jun 30, 2024"
Dimitrios Siovas,€450k,Centre-Back,"Sep 16, 1988 (34)",Greece,"1,91m",left,"Jan 31, 2022","Jun 30, 2024"
Roel Janssen,€300k,Centre-Back,"Jun 16, 1990 (32)",Netherlands,"1,79m",left,"Jul 1, 2020","Jun 30, 2023"
