name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Philipp Pentke,€300k,Goalkeeper,"May 1, 1985 (37)",Germany,"1,91m",right,"Jul 1, 2019","Jun 30, 2023"
Luca Philipp,€300k,Goalkeeper,"Nov 28, 2000 (22)",Germany,"1,92m",,"Jul 31, 2020","Jun 30, 2023"
Nahue Noll,€250k,Goalkeeper,"Mar 17, 2003 (20)",Germany,"1,88m",both,"Jul 1, 2021","Jun 30, 2025"
Ozan Kabak,€10.00m,Centre-Back,"Mar 25, 2000 (22)",Turkey,"1,87m",right,"Jul 23, 2022","Jun 30, 2026"
Stanley Nsoki,€8.50m,Centre-Back,"Apr 9, 1999 (23)",France,"1,84m",left,"Aug 3, 2022","Jun 30, 2027"
John Anthony Brooks,€6.00m,Centre-Back,"Jan 28, 1993 (30)",United States,"1,94m",left,"Jan 26, 2023","Jun 30, 2024"
Kevin Akpoguma,€5.00m,Centre-Back,"Apr 19, 1995 (27)",Nigeria,"1,92m",right,"Jul 1, 2013","Jun 30, 2024"
Eduardo Quaresma,€4.00m,Centre-Back,"Mar 2, 2002 (21)",Portugal,"1,85m",right,"Aug 4, 2022","Jun 30, 2023"
Kevin Vogt,€3.50m,Centre-Back,"Sep 23, 1991 (31)",Germany,"1,94m",right,"Jul 1, 2016","Jun 30, 2025"
Ermin Bicakcic,€1.00m,Centre-Back,"Jan 24, 1990 (33)",Bosnia-Herzegovina,"1,85m",right,"Jul 1, 2014","Jun 30, 2023"
Angeliño,€20.00m,Left-Back,"Jan 4, 1997 (26)",Spain,"1,71m",left,"Aug 8, 2022","Jun 30, 2023"
Pavel Kaderabek,€4.00m,Right-Back,"Apr 25, 1992 (30)",Czech Republic,"1,82m",right,"Jul 1, 2015","Jun 30, 2025"
Justin Che,€3.00m,Right-Back,"Nov 18, 2003 (19)",United States,"1,85m",right,"Jan 18, 2023","Jun 30, 2023"
Angelo Stiller,€6.00m,Defensive Midfield,"Apr 4, 2001 (21)",Germany,"1,83m",left,"Jul 1, 2021","Jun 30, 2025"
Sebastian Rudy,€1.50m,Defensive Midfield,"Feb 28, 1990 (33)",Germany,"1,80m",right,"Jul 1, 2021","Jun 30, 2023"
Dennis Geiger,€9.00m,Central Midfield,"Jun 10, 1998 (24)",Germany,"1,73m",right,"Jul 1, 2016","Jun 30, 2023"
Grischa Prömel,€7.50m,Central Midfield,"Jan 9, 1995 (28)",Germany,"1,84m",right,"Jul 1, 2022","Jun 30, 2026"
Thomas Delaney,€3.00m,Central Midfield,"Sep 3, 1991 (31)",Denmark,"1,82m",left,"Jan 30, 2023","Jun 30, 2023"
Finn Ole Becker,€2.00m,Central Midfield,"Jun 8, 2000 (22)",Germany,"1,77m",left,"Jul 1, 2022","Jun 30, 2026"
Umut Tohumcu,€200k,Central Midfield,"Aug 11, 2004 (18)",Germany,"1,75m",both,"Jan 18, 2023","Jun 30, 2026"
Robert Skov,€9.00m,Right Midfield,"May 20, 1996 (26)",Denmark,"1,85m",left,"Jul 29, 2019","Jun 30, 2024"
Christoph Baumgartner,€20.00m,Attacking Midfield,"Aug 1, 1999 (23)",Austria,"1,80m",right,"Jan 15, 2019","Jun 30, 2025"
Muhammed Damar,€1.00m,Attacking Midfield,"Apr 9, 2004 (18)",Germany,"1,85m",both,"Jul 1, 2022","Jun 30, 2026"
Tom Bischof,€1.00m,Attacking Midfield,"Jun 28, 2005 (17)",Germany,"1,76m",left,"Jul 1, 2021","Jun 30, 2025"
Jacob Bruun Larsen,€4.00m,Left Winger,"Sep 19, 1998 (24)",Denmark,"1,83m",right,"Jan 31, 2020","Jun 30, 2024"
Kasper Dolberg,€12.00m,Centre-Forward,"Oct 6, 1997 (25)",Denmark,"1,87m",right,"Jan 2, 2023","Jun 30, 2023"
Ihlas Bebou,€11.00m,Centre-Forward,"Apr 23, 1994 (28)",Togo,"1,83m",right,"Jul 1, 2019","Jun 30, 2026"
Andrej Kramaric,€9.00m,Centre-Forward,"Jun 19, 1991 (31)",Croatia,"1,77m",right,"Jul 1, 2016","Jun 30, 2025"
Munas Dabbur,€4.00m,Centre-Forward,"May 14, 1992 (30)",Israel,"1,82m",right,"Jan 7, 2020","Jun 30, 2024"
Fisnik Asllani,€400k,Centre-Forward,"Aug 8, 2002 (20)",Germany,"1,88m",both,"Jan 4, 2022","Jun 30, 2026"
Alexander Schwolow,€1.50m,Goalkeeper,"Jun 2, 1992 (30)",Germany,"1,90m",right,"Jul 1, 2022","Jun 30, 2023"
Ralf Fährmann,€400k,Goalkeeper,"Sep 27, 1988 (34)",Germany,"1,97m",right,"Jul 1, 2011","Jun 30, 2025"
Justin Heekeren,€250k,Goalkeeper,"Nov 27, 2000 (22)",Germany,"1,96m",both,"Jul 1, 2022","Jun 30, 2025"
Michael Langer,€50k,Goalkeeper,"Jan 6, 1985 (38)",Austria,"1,95m",right,"Aug 4, 2017","Jun 30, 2023"
Sepp van den Berg,€5.00m,Centre-Back,"Dec 20, 2001 (21)",Netherlands,"1,92m",right,"Aug 30, 2022","Jun 30, 2023"
Moritz Jenz,€4.00m,Centre-Back,"Apr 30, 1999 (23)",Germany,"1,90m",right,"Jan 26, 2023","Jun 30, 2023"
Leo Greiml,€2.50m,Centre-Back,"Jul 3, 2001 (21)",Austria,"1,87m",right,"Jul 1, 2022","Jun 30, 2025"
Timothée Kolodziejczak,€2.00m,Centre-Back,"Oct 1, 1991 (31)",France,"1,83m",left,"Oct 21, 2022","Jun 30, 2023"
Maya Yoshida,€1.50m,Centre-Back,"Aug 24, 1988 (34)",Japan,"1,89m",right,"Jul 5, 2022","Jun 30, 2023"
Marcin Kaminski,€1.00m,Centre-Back,"Jan 15, 1992 (31)",Poland,"1,92m",left,"Jul 1, 2021","Jun 30, 2023"
Henning Matriciani,€600k,Centre-Back,"Mar 14, 2000 (23)",Germany,"1,87m",right,"Sep 28, 2021","Jun 30, 2024"
Ibrahima Cissé,€200k,Centre-Back,"Feb 15, 2001 (22)",Mali,"1,96m",right,"Jul 1, 2022","Jun 30, 2026"
Thomas Ouwejan,€2.50m,Left-Back,"Sep 30, 1996 (26)",Netherlands,"1,83m",left,"Jul 1, 2022","Jun 30, 2024"
Jere Uronen,€1.00m,Left-Back,"Jul 13, 1994 (28)",Finland,"1,77m",left,"Jan 7, 2023","Jun 30, 2023"
Cédric Brunner,€2.50m,Right-Back,"Feb 17, 1994 (29)",Switzerland,"1,80m",right,"Jul 7, 2022","Jun 30, 2024"
Mehmet Aydin,€1.00m,Right-Back,"Feb 9, 2002 (21)",Turkey,"1,80m",right,"Jul 1, 2021","Jun 30, 2025"
Alex Kral,€4.50m,Defensive Midfield,"May 19, 1998 (24)",Czech Republic,"1,86m",right,"Jul 14, 2022","Jun 30, 2023"
Éder Balanta,€3.00m,Defensive Midfield,"Feb 28, 1993 (30)",Colombia,"1,80m",left,"Jan 31, 2023","Jun 30, 2023"
Niklas Tauer,€1.50m,Defensive Midfield,"Feb 17, 2001 (22)",Germany,"1,83m",right,"Jan 1, 2023","Jun 30, 2024"
Tom Krauß,€6.00m,Central Midfield,"Jun 22, 2001 (21)",Germany,"1,82m",right,"Jul 1, 2022","Jun 30, 2023"
Danny Latza,€600k,Central Midfield,"Dec 7, 1989 (33)",Germany,"1,79m",right,"Jul 1, 2021","Jun 30, 2024"
Nassim Boujellab,€400k,Central Midfield,"Jun 20, 1999 (23)",Morocco,"1,82m",both,"Apr 6, 2019","Jun 30, 2023"
Tobias Mohr,€1.80m,Left Midfield,"Aug 24, 1995 (27)",Germany,"1,83m",left,"Jul 1, 2022","Jun 30, 2025"
Rodrigo Zalazar,€3.50m,Attacking Midfield,"Aug 12, 1999 (23)",Uruguay,"1,78m",right,"Jul 1, 2022","Jun 30, 2026"
Dominick Drexler,€900k,Attacking Midfield,"May 26, 1990 (32)",Germany,"1,83m",right,"Jul 21, 2021","Jun 30, 2023"
Marius Bülter,€2.50m,Left Winger,"Mar 29, 1993 (29)",Germany,"1,88m",right,"Jul 1, 2021","Jun 30, 2024"
Tim Skarke,€1.00m,Right Winger,"Sep 7, 1996 (26)",Germany,"1,81m",right,"Jan 23, 2023","Jun 30, 2023"
Soichiro Kozuki,€150k,Right Winger,"Dec 22, 2000 (22)",Japan,"1,80m",right,"Jan 1, 2023","Jun 30, 2025"
Michael Frey,€4.50m,Centre-Forward,"Jul 19, 1994 (28)",Switzerland,"1,88m",right,"Jan 20, 2023","Jun 30, 2023"
Sebastian Polter,€1.70m,Centre-Forward,"Apr 1, 1991 (31)",Germany,"1,92m",right,"Jul 1, 2022","Jun 30, 2025"
Kenan Karaman,€1.40m,Centre-Forward,"Mar 5, 1994 (29)",Turkey,"1,89m",right,"Sep 1, 2022","Jun 30, 2025"
Simon Terodde,€1.00m,Centre-Forward,"Mar 2, 1988 (35)",Germany,"1,92m",right,"Jul 1, 2021","Jun 30, 2023"
Marvin Schwäbe,€5.00m,Goalkeeper,"Apr 25, 1995 (27)",Germany,"1,90m",right,"Jul 1, 2021","Jun 30, 2024"
Timo Horn,€1.50m,Goalkeeper,"May 12, 1993 (29)",Germany,"1,92m",left,"Jul 1, 2011","Jun 30, 2023"
Julian Roloff,€100k,Goalkeeper,"Jan 17, 2001 (22)",Germany,"1,92m",right,-,"Jun 30, 2024"
Matthias Köbbing,€25k,Goalkeeper,"May 28, 1997 (25)",Germany,"1,96m",both,"Mar 8, 2022","Jun 30, 2025"
Timo Hübers,€7.50m,Centre-Back,"Jul 20, 1996 (26)",Germany,"1,90m",right,"Jul 1, 2021","Jun 30, 2024"
Luca Kilian,€4.50m,Centre-Back,"Sep 1, 1999 (23)",Germany,"1,92m",right,"Jul 1, 2022","Jun 30, 2025"
Julian Chabot,€2.00m,Centre-Back,"Feb 12, 1998 (25)",Germany,"1,95m",left,"Jan 26, 2022","Jun 30, 2023"
Nikola Soldo,€1.50m,Centre-Back,"Jan 25, 2001 (22)",Croatia,"1,89m",right,"Sep 1, 2022","Jun 30, 2025"
Rijad Smajic,€200k,Centre-Back,"May 2, 2004 (18)",Bosnia-Herzegovina,"1,90m",,-,"Jun 30, 2025"
Elias Bakatukanda,-,Centre-Back,"Apr 13, 2004 (18)",Germany,"1,93m",both,-,"Jun 30, 2024"
Jonas Hector,€3.50m,Left-Back,"May 27, 1990 (32)",Germany,"1,85m",left,"Jul 1, 2012","Jun 30, 2023"
Kristian Pedersen,€2.00m,Left-Back,"Aug 4, 1994 (28)",Denmark,"1,89m",left,"Jul 1, 2022","Jun 30, 2024"
Benno Schmitz,€3.00m,Right-Back,"Nov 17, 1994 (28)",Germany,"1,82m",right,"Jul 1, 2018","Jun 30, 2024"
Kingsley Schindler,€1.00m,Right-Back,"Jul 12, 1993 (29)",Germany,"1,83m",right,"Jul 1, 2019","Jun 30, 2023"
Ellyes Skhiri,€13.00m,Defensive Midfield,"May 10, 1995 (27)",Tunisia,"1,85m",right,"Jul 29, 2019","Jun 30, 2023"
Dejan Ljubicic,€10.00m,Defensive Midfield,"Oct 8, 1997 (25)",Austria,"1,87m",right,"Jul 1, 2021","Jun 30, 2025"
Eric Martel,€4.00m,Defensive Midfield,"Apr 29, 2002 (20)",Germany,"1,88m",right,"Jul 1, 2022","Jun 30, 2026"
Georg Strauch,€200k,Defensive Midfield,"Mar 30, 2001 (21)",Germany,"1,77m",right,-,"Jun 30, 2024"
Denis Huseinbasic,€2.00m,Central Midfield,"Jul 3, 2001 (21)",Germany,"1,84m",right,"Jul 1, 2022","Jun 30, 2025"
Mathias Olesen,€800k,Central Midfield,"Mar 21, 2001 (21)",Luxembourg,"1,88m",both,"Feb 4, 2022","Jun 30, 2025"
Joshua Schwirten,€200k,Central Midfield,"Jan 7, 2002 (21)",Germany,"1,82m",both,-,"Jun 30, 2023"
Florian Kainz,€4.00m,Left Winger,"Oct 24, 1992 (30)",Austria,"1,76m",both,"Jan 18, 2019","Jun 30, 2025"
Jan Thielmann,€9.00m,Right Winger,"May 26, 2002 (20)",Germany,"1,78m",right,"Jan 17, 2020","Jun 30, 2024"
Linton Maina,€3.50m,Right Winger,"Jun 23, 1999 (23)",Germany,"1,80m",right,"Jul 1, 2022","Jun 30, 2025"
Dimitrios Limnios,€2.00m,Right Winger,"May 27, 1998 (24)",Greece,"1,78m",right,"Sep 21, 2020","Jun 30, 2024"
Justin Diehl,€500k,Second Striker,"Nov 27, 2004 (18)",Germany,"1,74m",,-,"Jun 30, 2024"
Damion Downs,-,Second Striker,"Jul 6, 2004 (18)",Germany,"1,92m",right,-,-
Steffen Tigges,€3.50m,Centre-Forward,"Jul 31, 1998 (24)",Germany,"1,94m",left,"Jul 1, 2022","Jun 30, 2026"
Mark Uth,€3.00m,Centre-Forward,"Aug 24, 1991 (31)",Germany,"1,85m",left,"Jul 1, 2021","Jun 30, 2025"
Sargis Adamyan,€2.50m,Centre-Forward,"May 23, 1993 (29)",Armenia,"1,84m",right,"Jul 5, 2022","Jun 30, 2026"
Tim Lemperle,€2.00m,Centre-Forward,"Feb 5, 2002 (21)",Germany,"1,89m",right,"Jul 1, 2020","Jun 30, 2025"
Davie Selke,€1.80m,Centre-Forward,"Jan 20, 1995 (28)",Germany,"1,95m",right,"Jan 2, 2023","Jun 30, 2024"
Sebastian Andersson,€1.00m,Centre-Forward,"Jul 15, 1991 (31)",Sweden,"1,90m",right,"Sep 15, 2020","Jun 30, 2023"
Florian Dietz,€1.00m,Centre-Forward,"Aug 3, 1998 (24)",Germany,"1,90m",right,"Jul 1, 2022","Jun 30, 2025"
Maximilian Schmid,€200k,Centre-Forward,"Mar 5, 2003 (20)",Germany,"1,84m",right,-,"Jun 30, 2024"
Koen Casteels,€8.00m,Goalkeeper,"Jun 25, 1992 (30)",Belgium,"1,97m",left,"Jan 21, 2015","Jun 30, 2024"
Pavao Pervan,€400k,Goalkeeper,"Nov 13, 1987 (35)",Austria,"1,94m",both,"Jul 1, 2018","Jun 30, 2024"
Philipp Schulze,€200k,Goalkeeper,"Jan 29, 2003 (20)",Germany,"1,90m",,"Jul 1, 2021","Jun 30, 2023"
Niklas Klinger,€100k,Goalkeeper,"Oct 13, 1995 (27)",Germany,"1,87m",right,"Jul 1, 2019","Jun 30, 2023"
Maxence Lacroix,€20.00m,Centre-Back,"Apr 6, 2000 (22)",France,"1,90m",right,"Aug 25, 2020","Jun 30, 2025"
Sebastiaan Bornauw,€8.50m,Centre-Back,"Mar 22, 1999 (23)",Belgium,"1,91m",right,"Jul 16, 2021","Jun 30, 2026"
Micky van de Ven,€8.00m,Centre-Back,"Apr 19, 2001 (21)",Netherlands,"1,93m",left,"Aug 31, 2021","Jun 30, 2027"
Paulo Otávio,€6.50m,Left-Back,"Nov 23, 1994 (28)",Brazil,"1,73m",left,"Jul 1, 2019","Jun 30, 2023"
Nicolas Cozza,€5.00m,Left-Back,"Jan 8, 1999 (24)",France,"1,78m",left,"Jan 25, 2023","Jun 30, 2027"
Ridle Baku,€13.00m,Right-Back,"Apr 8, 1998 (24)",Germany,"1,76m",right,"Oct 1, 2020","Jun 30, 2025"
Kilian Fischer,€1.50m,Right-Back,"Oct 12, 2000 (22)",Germany,"1,82m",both,"Jul 1, 2022","Jun 30, 2027"
Bartol Franjic,€6.50m,Defensive Midfield,"Jan 14, 2000 (23)",Croatia,"1,88m",left,"Jul 1, 2022","Jun 30, 2027"
Josuha Guilavogui,€3.00m,Defensive Midfield,"Sep 19, 1990 (32)",France,"1,88m",right,"Jul 1, 2016","Jun 30, 2023"
Maximilian Arnold,€17.00m,Central Midfield,"May 27, 1994 (28)",Germany,"1,84m",left,"Jan 1, 2012","Jun 30, 2026"
Mattias Svanberg,€15.00m,Central Midfield,"Jan 5, 1999 (24)",Sweden,"1,85m",right,"Jul 16, 2022","Jun 30, 2027"
Yannick Gerhardt,€6.00m,Central Midfield,"Mar 13, 1994 (29)",Germany,"1,84m",left,"Jul 1, 2016","Jun 30, 2025"
Kevin Paredes,€5.00m,Left Midfield,"May 7, 2003 (19)",United States,"1,70m",left,"Jan 28, 2022","Jun 30, 2026"
Felix Nmecha,€3.00m,Attacking Midfield,"Oct 10, 2000 (22)",Germany,"1,90m",right,"Jul 21, 2021","Jun 30, 2024"
Jakub Kaminski,€10.00m,Left Winger,"Jun 5, 2002 (20)",Poland,"1,79m",right,"Jul 1, 2022","Jun 30, 2027"
Omar Marmoush,€6.00m,Left Winger,"Feb 7, 1999 (24)",Egypt,"1,83m",right,"Jul 1, 2020","Jun 30, 2023"
Patrick Wimmer,€8.00m,Right Winger,"May 30, 2001 (21)",Austria,"1,82m",,"Jul 1, 2022","Jun 30, 2027"
Luca Waldschmidt,€4.50m,Second Striker,"May 19, 1996 (26)",Germany,"1,81m",left,"Aug 22, 2021","Jun 30, 2025"
Lukas Nmecha,€18.00m,Centre-Forward,"Dec 14, 1998 (24)",Germany,"1,85m",right,"Jul 16, 2021","Jun 30, 2025"
Jonas Wind,€14.00m,Centre-Forward,"Feb 7, 1999 (24)",Denmark,"1,90m",right,"Jan 31, 2022","Jun 30, 2026"
Dzenan Pejcinovic,€1.00m,Centre-Forward,"Feb 15, 2005 (18)",Germany,"1,88m",left,"Jul 14, 2022","Jun 30, 2027"
Gregor Kobel,€25.00m,Goalkeeper,"Dec 6, 1997 (25)",Switzerland,"1,94m",right,"Jul 1, 2021","Jun 30, 2026"
Marcel Lotka,€1.30m,Goalkeeper,"May 25, 2001 (21)",Germany,"1,90m",right,"Jul 1, 2022","Jun 30, 2024"
Alexander Meyer,€1.00m,Goalkeeper,"Apr 13, 1991 (31)",Germany,"1,95m",right,"Jul 1, 2022","Jun 30, 2024"
Luca Unbehaun,€1.00m,Goalkeeper,"Feb 27, 2001 (22)",Germany,"1,85m",right,"Jul 1, 2019","Jun 30, 2023"
Niklas Süle,€35.00m,Centre-Back,"Sep 3, 1995 (27)",Germany,"1,95m",right,"Jul 1, 2022","Jun 30, 2026"
Nico Schlotterbeck,€33.00m,Centre-Back,"Dec 1, 1999 (23)",Germany,"1,91m",left,"Jul 1, 2022","Jun 30, 2027"
Mats Hummels,€6.50m,Centre-Back,"Dec 16, 1988 (34)",Germany,"1,91m",right,"Jul 1, 2019","Jun 30, 2023"
Soumaïla Coulibaly,€1.00m,Centre-Back,"Oct 14, 2003 (19)",France,"1,90m",left,"Jul 1, 2021","Jun 30, 2026"
Raphaël Guerreiro,€20.00m,Left-Back,"Dec 22, 1993 (29)",Portugal,"1,70m",left,"Jul 1, 2016","Jun 30, 2023"
Tom Rothe,€3.50m,Left-Back,"Oct 29, 2004 (18)",Germany,"1,93m",left,"Jul 1, 2022","Jun 30, 2024"
Nico Schulz,€2.00m,Left-Back,"Apr 1, 1993 (29)",Germany,"1,80m",left,"Jul 1, 2019","Jun 30, 2024"
Julian Ryerson,€7.50m,Right-Back,"Nov 17, 1997 (25)",Norway,"1,83m",right,"Jan 17, 2023","Jun 30, 2026"
Marius Wolf,€6.50m,Right-Back,"May 27, 1995 (27)",Germany,"1,87m",right,"Jul 2, 2018","Jun 30, 2024"
Thomas Meunier,€6.50m,Right-Back,"Sep 12, 1991 (31)",Belgium,"1,91m",right,"Jul 1, 2020","Jun 30, 2024"
Mateu Morey Bauzà,€1.50m,Right-Back,"Mar 2, 2000 (23)",Spain,"1,73m",right,"Jul 1, 2019","Jun 30, 2024"
Felix Passlack,€1.50m,Right-Back,"May 29, 1998 (24)",Germany,"1,70m",right,"Jan 4, 2016","Jun 30, 2023"
Salih Özcan,€17.00m,Defensive Midfield,"Jan 11, 1998 (25)",Turkey,"1,83m",right,"Jul 1, 2022","Jun 30, 2026"
Emre Can,€14.00m,Defensive Midfield,"Jan 12, 1994 (29)",Germany,"1,86m",right,"Jul 1, 2020","Jun 30, 2024"
Abdoulaye Kamara,€1.00m,Defensive Midfield,"Nov 6, 2004 (18)",France,"1,83m",right,-,"Jun 30, 2024"
Antonios Papadopoulos,€600k,Defensive Midfield,"Sep 10, 1999 (23)",Germany,"1,86m",right,-,"Jun 30, 2024"
Jude Bellingham,€110.00m,Central Midfield,"Jun 29, 2003 (19)",England,"1,86m",right,"Jul 23, 2020","Jun 30, 2025"
Mahmoud Dahoud,€18.00m,Central Midfield,"Jan 1, 1996 (27)",Germany,"1,78m",right,"Jul 1, 2017","Jun 30, 2023"
Giovanni Reyna,€35.00m,Attacking Midfield,"Nov 13, 2002 (20)",United States,"1,85m",right,"Jan 12, 2020","Jun 30, 2025"
Julian Brandt,€28.00m,Attacking Midfield,"May 2, 1996 (26)",Germany,"1,85m",right,"Jul 1, 2019","Jun 30, 2024"
Marco Reus,€9.00m,Attacking Midfield,"May 31, 1989 (33)",Germany,"1,80m",right,"Jul 1, 2012","Jun 30, 2023"
Göktan Gürpüz,€300k,Attacking Midfield,"Jan 22, 2003 (20)",Turkey,"1,75m",right,-,"Jun 30, 2025"
Karim Adeyemi,€35.00m,Left Winger,"Jan 18, 2002 (21)",Germany,"1,80m",left,"Jul 1, 2022","Jun 30, 2027"
Donyell Malen,€20.00m,Left Winger,"Jan 19, 1999 (24)",Netherlands,"1,78m",right,"Jul 27, 2021","Jun 30, 2026"
Jamie Bynoe-Gittens,€8.00m,Left Winger,"Aug 8, 2004 (18)",England,"1,77m",right,"Jul 1, 2022","Jun 30, 2025"
Julien Duranville,€5.00m,Right Winger,"May 5, 2006 (16)",Belgium,"1,70m",right,"Jan 27, 2023",-
Sébastien Haller,€35.00m,Centre-Forward,"Jun 22, 1994 (28)",Cote d'Ivoire,"1,91m",right,"Jul 6, 2022","Jun 30, 2026"
Youssoufa Moukoko,€30.00m,Centre-Forward,"Nov 20, 2004 (18)",Germany,"1,79m",left,"Jul 29, 2020","Jun 30, 2026"
Anthony Modeste,€4.00m,Centre-Forward,"Apr 14, 1988 (34)",France,"1,88m",right,"Aug 8, 2022","Jun 30, 2023"
Frederik Rönnow,€3.50m,Goalkeeper,"Aug 4, 1992 (30)",Denmark,"1,88m",right,"Jul 20, 2021","Jun 30, 2024"
Lennart Grill,€1.00m,Goalkeeper,"Jan 25, 1999 (24)",Germany,"1,92m",right,"Jul 1, 2022","Jun 30, 2023"
Jakob Busk,€250k,Goalkeeper,"Sep 12, 1993 (29)",Denmark,"1,89m",right,"Jan 15, 2016","Jun 30, 2024"
Diogo Leite,€9.00m,Centre-Back,"Jan 23, 1999 (24)",Portugal,"1,90m",left,"Jul 16, 2022","Jun 30, 2023"
Paul Jaeckel,€7.50m,Centre-Back,"Jul 22, 1998 (24)",Germany,"1,86m",right,"Jul 1, 2021",-
Timo Baumgartl,€5.00m,Centre-Back,"Mar 4, 1996 (27)",Germany,"1,90m",right,"Jul 1, 2021","Jun 30, 2023"
Robin Knoche,€5.00m,Centre-Back,"May 22, 1992 (30)",Germany,"1,89m",right,"Aug 4, 2020","Jun 30, 2024"
Danilho Doekhi,€4.00m,Centre-Back,"Jun 30, 1998 (24)",Netherlands,"1,90m",right,"Jul 1, 2022","Jun 30, 2025"
Jérôme Roussillon,€3.00m,Left-Back,"Jan 6, 1993 (30)",Guadeloupe,"1,72m",left,"Jan 12, 2023",-
Niko Gießelmann,€2.00m,Left-Back,"Sep 26, 1991 (31)",Germany,"1,82m",left,"Jul 15, 2020","Jun 30, 2023"
Josip Juranovic,€9.00m,Right-Back,"Aug 16, 1995 (27)",Croatia,"1,73m",right,"Jan 22, 2023","Jun 30, 2027"
Christopher Trimmel,€800k,Right-Back,"Feb 24, 1987 (36)",Austria,"1,89m",right,"Jul 1, 2014","Jun 30, 2024"
Rani Khedira,€8.00m,Defensive Midfield,"Jan 27, 1994 (29)",Germany,"1,89m",right,"Jul 1, 2021","Jun 30, 2023"
Morten Thorsby,€7.00m,Central Midfield,"May 5, 1996 (26)",Norway,"1,88m",right,"Jul 19, 2022","Jun 30, 2025"
András Schäfer,€5.00m,Central Midfield,"Apr 13, 1999 (23)",Hungary,"1,78m",both,"Jan 21, 2022",-
Janik Haberer,€5.00m,Central Midfield,"Apr 2, 1994 (28)",Germany,"1,86m",right,"Jul 1, 2022","Jun 30, 2025"
Aïssa Laïdouni,€4.00m,Central Midfield,"Dec 13, 1996 (26)",Tunisia,"1,81m",right,"Jan 27, 2023",-
Paul Seguin,€2.20m,Central Midfield,"Mar 29, 1995 (27)",Germany,"1,85m",right,"Jul 1, 2022",-
Levin Öztunali,€1.50m,Central Midfield,"Mar 15, 1996 (27)",Germany,"1,84m",right,"Jul 1, 2021",-
Kevin Möhwald,€1.00m,Central Midfield,"Jul 3, 1993 (29)",Germany,"1,82m",right,"Aug 30, 2021",-
Milos Pantovic,€2.20m,Attacking Midfield,"Jul 7, 1996 (26)",Serbia,"1,86m",right,"Jul 1, 2022",-
Tim Maciejewski,€350k,Right Winger,"Mar 5, 2001 (22)",Germany,"1,86m",right,"Jul 1, 2020","Jun 30, 2023"
Sheraldo Becker,€15.00m,Second Striker,"Feb 9, 1995 (28)",Suriname,"1,80m",right,"Jul 1, 2019","Jun 30, 2025"
Jamie Leweling,€4.50m,Second Striker,"Feb 26, 2001 (22)",Germany,"1,84m",both,"Jul 1, 2022","Jun 30, 2026"
Jordan,€10.00m,Centre-Forward,"Apr 26, 1996 (26)",United States,"1,91m",right,"Jul 1, 2022","Jun 30, 2026"
Sven Michel,€1.20m,Centre-Forward,"Jul 15, 1990 (32)",Germany,"1,77m",left,"Jan 31, 2022","Jun 30, 2024"
Kevin Behrens,€900k,Centre-Forward,"Feb 3, 1991 (32)",Germany,"1,85m",right,"Jul 1, 2021","Jun 30, 2024"
Florian Müller,€3.00m,Goalkeeper,"Nov 13, 1997 (25)",Germany,"1,90m",left,"Jul 1, 2021","Jun 30, 2025"
Fabian Bredlow,€700k,Goalkeeper,"Mar 2, 1995 (28)",Germany,"1,90m",both,"Jul 1, 2019","Jun 30, 2024"
Florian Schock,€200k,Goalkeeper,"May 22, 2001 (21)",Germany,"2,00m",right,"Sep 7, 2021","Jun 30, 2024"
Konstantinos Mavropanos,€15.00m,Centre-Back,"Dec 11, 1997 (25)",Greece,"1,94m",right,"Jul 1, 2022","Jun 30, 2025"
Hiroki Ito,€5.50m,Centre-Back,"May 12, 1999 (23)",Japan,"1,88m",left,"Jul 1, 2022","Jun 30, 2025"
Dan-Axel Zagadou,€5.00m,Centre-Back,"Jun 3, 1999 (23)",France,"1,96m",left,"Sep 19, 2022","Jun 30, 2026"
Waldemar Anton,€4.50m,Centre-Back,"Jul 20, 1996 (26)",Germany,"1,89m",right,"Jul 28, 2020","Jun 30, 2025"
Antonis Aidonis,€350k,Centre-Back,"May 22, 2001 (21)",Germany,"1,86m",right,"Jul 24, 2020","Jun 30, 2023"
Borna Sosa,€20.00m,Left-Back,"Jan 21, 1998 (25)",Croatia,"1,87m",left,"Jul 1, 2018","Jun 30, 2025"
Josha Vagnoman,€3.70m,Right-Back,"Dec 11, 2000 (22)",Germany,"1,90m",right,"Jul 9, 2022","Jun 30, 2026"
Pascal Stenzel,€1.50m,Right-Back,"Mar 20, 1996 (26)",Germany,"1,83m",right,"Jul 1, 2020","Jun 30, 2024"
Wataru Endo,€6.50m,Defensive Midfield,"Feb 9, 1993 (30)",Japan,"1,78m",right,"Jul 1, 2020","Jun 30, 2024"
Atakan Karazor,€4.50m,Defensive Midfield,"Oct 13, 1996 (26)",Germany,"1,91m",right,"Jul 1, 2019","Jun 30, 2026"
Enzo Millot,€2.50m,Central Midfield,"Jul 17, 2002 (20)",France,"1,74m",left,"Aug 14, 2021","Jun 30, 2025"
Nikolas Nartey,€1.80m,Central Midfield,"Feb 22, 2000 (23)",Denmark,"1,85m",left,"Aug 29, 2019","Jun 30, 2025"
Genki Haraguchi,€2.00m,Attacking Midfield,"May 9, 1991 (31)",Japan,"1,78m",right,"Jan 30, 2023","Jun 30, 2024"
